adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Jernbanegade 15, 6000, Kolding",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False,tlbwibkvqn,Jernbanegade 15, 6000, Kolding,Jernbanegade,15,,Jernbanegade,15,
"Jernbanegade 15, 6000, Kolding",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,400,False,15,False,True,False,tloksfnhfo,Jernbanegade 15, 6000, Kolding,Jernbanegade,15,,Jernbanegade,15,
"Jernbanegade 15, 6000, Kolding",55.4901995,9.4764975,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False,tldglemkdi,Jernbanegade 15, 6000, Kolding,Jernbanegade,15,,Jernbanegade,15,
"Jernbanegade 16 A, 6000, Kolding",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,660,False,16,False,True,False,tldmukofla,Jernbanegade 16 A, 6000, Kolding,Jernbanegade,16, A,Jernbanegade,16, A
"Jernbanegade 16 A, 6000, Kolding",55.4900805,9.4752548,Jernbanegade ,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,16,False,True,False,tlmpwfndho,Jernbanegade 16 A, 6000, Kolding,Jernbanegade,16, A,Jernbanegade,16, A
"Jernbanegade 17 A, 6000, Kolding",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,False,True,True,tlrhwczdaq,Jernbanegade 17 A, 6000, Kolding,Jernbanegade,17, A,Jernbanegade,17, A
"Jernbanegade 17 A, 6000, Kolding",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,False,True,True,tloevuizmg,Jernbanegade 17 A, 6000, Kolding,Jernbanegade,17, A,Jernbanegade,17, A
"Jernbanegade 17 A, 6000, Kolding",55.490142,9.4764493,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,17,False,True,True,tlfmtpzbec,Jernbanegade 17 A, 6000, Kolding,Jernbanegade,17, A,Jernbanegade,17, A
"Jernbanegade 19, 6000, Kolding",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,19,True,True,False,tlhniuvikl,Jernbanegade 19, 6000, Kolding,Jernbanegade,19,,Jernbanegade,19,
"Jernbanegade 19, 6000, Kolding",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,19,True,True,False,tlbxnkdlts,Jernbanegade 19, 6000, Kolding,Jernbanegade,19,,Jernbanegade,19,
"Jernbanegade 20, 6000, Kolding",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True,tlfkdrgmov,Jernbanegade 20, 6000, Kolding,Jernbanegade,20,,Jernbanegade,20,
"Jernbanegade 20, 6000, Kolding",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True,tldifvnqev,Jernbanegade 20, 6000, Kolding,Jernbanegade,20,,Jernbanegade,20,
"Jernbanegade 20, 6000, Kolding",55.4900093,9.4761071,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True,tlrbqpefqf,Jernbanegade 20, 6000, Kolding,Jernbanegade,20,,Jernbanegade,20,
"Jernbanegade 21, 6000, Kolding",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,660,False,21,False,True,False,tlhkpmhwlf,Jernbanegade 21, 6000, Kolding,Jernbanegade,21,,Jernbanegade,21,
"Jernbanegade 21, 6000, Kolding",55.4901618,9.4769814,Jernbanegade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False,tlrqqtglud,Jernbanegade 21, 6000, Kolding,Jernbanegade,21,,Jernbanegade,21,
