adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,22,False,True,False,tuaczmaugt,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True,tumousooei,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Jernbanegade 1 E, 6000, Kolding",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,1,False,True,True,tufujsjsqt,Jernbanegade 1 E, 6000, Kolding,Jernbanegade,1, E,Jernbanegade,1, E
"Jernbanegade 1 E, 6000, Kolding",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,1,False,True,True,tulcegddzu,Jernbanegade 1 E, 6000, Kolding,Jernbanegade,1, E,Jernbanegade,1, E
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True,tuvxalxhyw,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,3,False,True,True,tuzugjiqfj,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True,tuefztgmwv,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
"Jernbanegade 4, 6000, Kolding",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,4,False,True,True,tuwiawzmpv,Jernbanegade 4, 6000, Kolding,Jernbanegade,4,,Jernbanegade,4,
"Jernbanegade 4, 6000, Kolding",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,4,False,True,True,tuhgjtdfqs,Jernbanegade 4, 6000, Kolding,Jernbanegade,4,,Jernbanegade,4,
"Jernbanegade 8, 6000, Kolding",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True,tumqqcoowl,Jernbanegade 8, 6000, Kolding,Jernbanegade,8,,Jernbanegade,8,
