adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
Buen 2,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,2,,660,False,False,False,e6da4b62-b202-4f16-be6e-94aa0274cacb,False
Buen 2,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,2,,140,False,False,False,16b394fc-1778-454a-a82e-59b733534440,False
Buen 2,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,2,,660,False,False,False,3f9d3eec-f98e-4587-a056-0ff15acb4540,False
Buen 8,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,8,,190,False,False,False,8cb49b77-dd0d-48d2-9da7-9cc4d9ca746f,False
Buen 8,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,8,,660,False,False,False,37eeecdd-ac42-4af4-9054-5b428ccff92c,False
Buen 8,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Buen,8,,660,False,False,False,ed6a13e6-51af-4d82-b108-5661b7d407d9,False
Bøgeløkke 2 B,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Bøgeløkke,2, B,240,True,False,False,ddf532b5-ca6c-4375-8794-2abd8fa3e0ff,False
Chr. Winthers Vej 6 D,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Chr. Winthers Vej,6, D,240,False,False,False,323ed030-bc59-44fe-a295-fb23ea848c91,False
Chr. Winthers Vej 6 E,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Chr. Winthers Vej,6, E,240,False,False,False,d0115fbe-0be3-445d-8a3e-aa1c254401dc,False
Chr. Winthers Vej 6 F,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Chr. Winthers Vej,6, F,240,False,False,False,f97a5a56-934c-45db-84cf-f53c36b32cf4,False
Chr. Winthers Vej 6 G,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Chr. Winthers Vej,6, G,240,False,False,False,a502f1bc-2eae-4b54-9233-3583bd181b25,False
Chr. Winthers Vej 6 H,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Chr. Winthers Vej,6, H,240,False,False,False,c928af53-bafd-4c88-89b3-913965391208,False
Christian 4 Vej 83,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Christian,4, Vej 83,240,True,False,False,be1224b1-9a23-4317-9db0-97cf5a50283f,False
Christian 4 Vej 85,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,True,False,1,1,Christian,4, Vej 85,240,True,False,False,67c13c15-ddd6-4405-8329-4e299db6eafd,False
Christian 4 Vej 87,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,True,False,1,1,Christian,4, Vej 87,240,False,False,False,02a1d313-b05b-49aa-a901-d3a4ee317da0,False
Drachmannsvej 1,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Drachmannsvej,1,,370,False,False,False,425ce475-545f-4807-be4a-6ca147bbf242,False
Drachmannsvej 14,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Drachmannsvej,14,,370,False,False,False,59a63059-fa68-4e71-a34b-7393a0716070,False
Fjordvej 97,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fjordvej,97,,240,True,False,False,9d877e2a-50f6-45cf-801e-cbb637dd3026,False
Fjordvej 99,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fjordvej,99,,370,True,False,False,57ab3ec0-41b0-40b1-90c0-1e8a9fc39941,False
Fjordvej 103,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fjordvej,103,,240,True,False,False,192020c0-5fd0-452e-88f7-1c77295e97b4,False
Fjordvej 105,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Fjordvej,105,,370,False,False,False,6d34feda-1ebe-4f4f-a765-0e21e5f20fc9,False
Fredens Vej 2,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Fredens Vej,2,,240,False,False,False,b26ef553-3386-42e3-9031-a0e557c9cf23,False
Fredens Vej 4,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fredens Vej,4,,370,True,False,False,eda6dfcf-9ae7-4044-852d-9d87d5d90f7d,False
Fælleshavegyde 5,6091,,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fælleshavegyde,5,,240,True,False,False,18a5b97b-0eee-41a8-9c76-709e0ffa17c9,False
Fæstevej 1,6092,Sønder Stenderup,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fæstevej,1,,370,False,False,False,48176b9d-1c07-48ed-a81a-a86b83f7ad3b,False
Fæstevej 3,6092,Sønder Stenderup,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fæstevej,3,,240,False,False,False,51cceb07-a054-49f5-ae07-19922fed155b,False
Fæstevej 5,6092,Sønder Stenderup,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Fæstevej,5,,240,True,False,False,9410fca6-db42-4904-a80f-678892b18ef5,False
Gammeltoft 2,6091,Bjert,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Gammeltoft,2,,240,True,False,False,c13597af-db4a-4218-9efb-57b5089c42e1,False
Gammeltoft 2,6091,Bjert,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Gammeltoft,2,,240,True,False,False,4236d37d-3a83-4db3-997f-ab774244fcd6,False
Gammeltoft 3,6091,Bjert,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Gammeltoft,3,,240,False,False,False,cb2a73d0-66b9-41cc-845c-317e276a044e,False
Gefionvej 46,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Gefionvej,46,,240,False,False,False,bd97b734-3639-40dc-a44c-7533a30040f9,False
Gl. Strandvej 15,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Gl. Strandvej,15,,370,False,False,False,5d1ed8e9-77f7-4df8-9570-053bed2cd890,False
Gl. Strandvej 17,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gl. Strandvej,17,,660,False,False,False,fea7f003-554c-4984-ae1d-4c11dced843d,False
Gl. Strandvej 17,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Gl. Strandvej,17,,400,False,False,False,aa957be0-eeee-4747-a2e3-5ece66baf056,False
